balance_id,ctid_account,operation,delta_cents,currency,server_time,comment
BH-9901,ACC-1001,BALANCE_DEPOSIT,250000,USD,2024-03-10 09:22:00,INT-2024-001
BH-9902,ACC-1002,BALANCE_DEPOSIT,98750,EUR,2024-03-11 14:05:00,INT-2024-002
BH-9904,ACC-1004,BALANCE_DEPOSIT,340240,EUR,2024-03-13 10:45:00,INT-2024-004
BH-9905,ACC-1005,BALANCE_DEPOSIT,75000,EUR,2024-03-14 11:03:00,INT-2024-005
BH-9906,ACC-1006,BALANCE_WITHDRAW,-420000,USD,2024-03-15 08:02:00,WD-2024-006
BH-9907,ACC-1007,BALANCE_DEPOSIT,153000,USD,2024-03-16 13:10:00,INT-2024-007
BH-9910,ACC-1010,BALANCE_DEPOSIT,300000,USD,2024-03-18 10:00:00,
BH-9920,ACC-1101,BALANCE_DEPOSIT,150000,EUR,2024-03-18 08:06:00,INT-2024-101
BH-9921,ACC-1102,BALANCE_DEPOSIT,320000,USD,2024-03-19 09:13:00,INT-2024-102
BH-9922,ACC-1103,BALANCE_DEPOSIT,80000,EUR,2024-03-20 10:20:00,INT-2024-103
BH-9923,ACC-1104,BALANCE_DEPOSIT,450000,USD,2024-03-18 11:27:00,INT-2024-104
BH-9924,ACC-1105,BALANCE_DEPOSIT,275000,GBP,2024-03-19 12:34:00,
BH-9925,ACC-1106,BALANCE_DEPOSIT,60000,EUR,2024-03-20 13:41:00,INT-2024-106
BH-9926,ACC-1107,BALANCE_DEPOSIT,520000,USD,2024-03-18 14:48:00,INT-2024-107
BH-9927,ACC-1108,BALANCE_DEPOSIT,185000,EUR,2024-03-19 15:55:00,INT-2024-108
BH-9928,ACC-1109,BALANCE_DEPOSIT,95000,GBP,2024-03-20 16:02:00,INT-2024-109
BH-9929,ACC-1110,BALANCE_DEPOSIT,700000,USD,2024-03-18 08:09:00,INT-2024-110
BH-9930,ACC-1111,BALANCE_DEPOSIT,43000,EUR,2024-03-19 09:16:00,INT-2024-111
BH-9931,ACC-1112,BALANCE_DEPOSIT,220000,USD,2024-03-20 10:23:00,
BH-9932,ACC-1113,BALANCE_DEPOSIT,132000,EUR,2024-03-18 11:30:00,INT-2024-113
BH-9933,ACC-1114,BALANCE_DEPOSIT,610000,GBP,2024-03-19 12:37:00,INT-2024-114
BH-9934,ACC-1115,BALANCE_DEPOSIT,89000,EUR,2024-03-20 13:44:00,INT-2024-115
BH-9935,ACC-1116,BALANCE_DEPOSIT,345000,USD,2024-03-18 14:51:00,INT-2024-116
BH-9936,ACC-1117,BALANCE_DEPOSIT,167500,EUR,2024-03-19 15:58:00,INT-2024-117
BH-9937,ACC-1118,BALANCE_DEPOSIT,290000,USD,2024-03-20 16:05:00,INT-2024-118
